,DetWake Periods,DetSleep Consistency,DetRespiratory Rate,DetTotal Cycle Sleep Time (hours),DetREM Percentage,DetDeep Sleep Percentage,DetRestorative Sleep (hours),DetRestorative Sleep (%)
481,6.0,80.0,16.8164,7.58,31.3,14.0,3.56,45.3
482,16.0,84.0,17.1973,6.39,12.5,23.1,2.62,35.6
483,9.0,85.0,17.168,7.57,39.8,16.7,4.5,56.5
484,7.0,59.0,17.1387,4.94,29.2,16.8,2.49,45.9
485,9.0,44.0,16.9043,8.18,38.2,24.9,5.54,63.1
486,20.0,66.0,16.9922,9.74,39.8,20.8,6.37,60.6
487,16.0,73.0,17.3145,8.24,35.2,19.4,4.95,54.7
488,10.0,67.0,17.3145,7.49,16.2,10.2,2.2,26.4
489,10.880797078092293,80.0,17.4023,6.63,43.4,19.9,4.39,63.3
490,7.0,83.0,17.2266,6.42,31.4,19.1,3.41,50.5
491,10.451821608544954,82.0,17.4316,7.98,39.6,18.5,4.81,58.1
492,11.0,84.0,16.9629,6.46,21.7,17.4,2.74,39.1
493,14.0,85.0,17.0508,7.51,38.5,17.7,4.53,56.2
494,10.0,48.0,17.2266,8.1,33.4,15.2,4.19,48.6
495,6.0,85.0,18.0469,5.43,40.5,26.4,4.06,66.9
496,8.0,59.0,18.5449,9.24,11.7,23.4,2.93,35.1
497,10.0,75.0,17.8711,6.15,14.4,18.1,2.17,32.5
498,10.0,77.0,17.9004,6.31,13.0,21.6,2.39,34.6
499,10.0,68.0,18.1641,8.24,21.9,15.3,2.79,37.2
500,14.0,75.0,17.9883,7.52,19.5,19.6,3.19,39.1
501,11.171846137496097,56.0,18.9258,6.47,30.8,30.8,4.14,61.5
502,6.805580432753054,84.0,19.3359,7.55,37.5,13.9,3.99,51.4
503,7.0,73.0,19.4238,8.95,39.9,21.6,5.81,61.5
504,7.0,62.0,19.2773,9.25,49.6,15.1,6.2,64.7
505,7.660883916124497,73.0,19.4238,7.31,38.1,15.1,3.98,53.2
506,7.0,74.0,19.0137,8.46,34.7,18.7,4.85,53.4
507,14.0,74.0,19.4531,8.65,30.5,18.0,4.66,48.5
508,13.0,78.0,19.5703,8.03,31.2,15.7,4.09,46.9
509,7.0,82.0,18.6621,6.59,26.0,13.5,2.78,39.5
