,RHR,DetRHR,Raw Bias,% Bias
369,75,75.0,0.0,0.0
370,74,74.0,0.0,0.0
371,80,80.0,0.0,0.0
372,61,61.0,0.0,0.0
373,54,54.0,0.0,0.0
374,51,51.0,0.0,0.0
375,50,50.0,0.0,0.0
376,53,53.0,0.0,0.0
377,63,63.0,0.0,0.0
378,51,51.0,0.0,0.0
379,49,49.0,0.0,0.0
380,63,65.9353398829661,-2.9353398829661046,-4.451846139227118
381,57,57.0,0.0,0.0
382,53,53.0,0.0,0.0
383,51,51.0,0.0,0.0
384,57,57.0,0.0,0.0
385,69,69.0,0.0,0.0
386,57,57.0,0.0,0.0
387,63,63.0,0.0,0.0
388,67,67.0,0.0,0.0
389,62,62.0,0.0,0.0
390,56,56.0,0.0,0.0
391,60,60.0,0.0,0.0
392,50,56.152667884867256,-6.152667884867256,-10.957035732447107
393,45,45.0,0.0,0.0
394,48,48.0,0.0,0.0
395,50,50.0,0.0,0.0
396,52,52.0,0.0,0.0
397,49,49.0,0.0,0.0
398,72,72.0,0.0,0.0
399,70,70.0,0.0,0.0
400,71,65.94424083815773,5.055759161842275,7.6667182722601455
401,74,74.0,0.0,0.0
402,72,72.0,0.0,0.0
403,72,72.0,0.0,0.0
404,78,78.0,0.0,0.0
405,56,56.0,0.0,0.0
406,59,59.0,0.0,0.0
407,65,65.0,0.0,0.0
408,66,66.0,0.0,0.0
409,68,68.0,0.0,0.0
410,70,70.0,0.0,0.0
411,53,53.0,0.0,0.0
412,56,56.0,0.0,0.0
413,71,71.0,0.0,0.0
414,76,76.0,0.0,0.0
415,59,59.0,0.0,0.0
416,58,58.0,0.0,0.0
417,68,68.0,0.0,0.0
418,68,68.0,0.0,0.0
419,63,63.0,0.0,0.0
420,60,60.0,0.0,0.0
421,60,60.0,0.0,0.0
422,66,66.0,0.0,0.0
423,56,56.0,0.0,0.0
424,61,61.0,0.0,0.0
425,54,54.0,0.0,0.0
426,51,51.0,0.0,0.0
427,63,58.094815563682126,4.9051844363178745,8.443411668879353
428,52,52.0,0.0,0.0
429,54,54.0,0.0,0.0
430,61,61.0,0.0,0.0
431,58,58.0,0.0,0.0
432,58,58.0,0.0,0.0
433,58,58.0,0.0,0.0
434,71,71.0,0.0,0.0
435,74,74.0,0.0,0.0
436,78,78.0,0.0,0.0
437,75,75.0,0.0,0.0
438,84,84.0,0.0,0.0
439,56,56.0,0.0,0.0
440,50,50.0,0.0,0.0
441,50,50.0,0.0,0.0
442,57,57.0,0.0,0.0
443,54,54.0,0.0,0.0
444,53,53.0,0.0,0.0
445,57,57.0,0.0,0.0
446,46,46.0,0.0,0.0
447,49,49.0,0.0,0.0
448,45,45.0,0.0,0.0
449,45,45.0,0.0,0.0
450,47,47.0,0.0,0.0
451,52,52.0,0.0,0.0
452,58,58.0,0.0,0.0
453,72,72.0,0.0,0.0
454,53,53.0,0.0,0.0
455,58,58.0,0.0,0.0
456,63,63.0,0.0,0.0
457,63,63.0,0.0,0.0
458,59,59.0,0.0,0.0
459,54,54.0,0.0,0.0
460,59,59.0,0.0,0.0
461,57,57.0,0.0,0.0
462,63,63.0,0.0,0.0
463,49,49.0,0.0,0.0
464,76,76.0,0.0,0.0
465,76,76.0,0.0,0.0
466,72,72.0,0.0,0.0
467,74,74.0,0.0,0.0
468,73,73.0,0.0,0.0
469,63,63.0,0.0,0.0
470,61,61.0,0.0,0.0
471,60,60.0,0.0,0.0
472,61,61.0,0.0,0.0
473,56,56.0,0.0,0.0
474,56,56.0,0.0,0.0
475,56,56.0,0.0,0.0
476,52,52.0,0.0,0.0
477,54,54.0,0.0,0.0
478,60,60.0,0.0,0.0
479,56,56.0,0.0,0.0
480,57,57.0,0.0,0.0
481,56,56.0,0.0,0.0
482,54,54.0,0.0,0.0
483,56,56.0,0.0,0.0
484,55,55.0,0.0,0.0
485,56,56.0,0.0,0.0
486,56,54.74642448985803,1.253575510141971,2.2897851719507276
487,54,54.0,0.0,0.0
488,54,54.0,0.0,0.0
489,62,62.0,0.0,0.0
490,60,60.0,0.0,0.0
491,62,62.0,0.0,0.0
492,53,53.0,0.0,0.0
493,60,60.0,0.0,0.0
494,60,60.0,0.0,0.0
